number	year	rinc_citations	scopus_citations	title	title_ru	title_ru_display	title_en	title_en_source	authors	venue	venue_ru	venue_en	venue_en_source	volume	issue	pages	doi	url	gost_ru	apa_en	sources
9	2024	0		ПЕРВОПРИНЦИПНЫЕ ИССЛЕДОВАНИЯ ЭЛЕКТРОННЫХ СВОЙСТВ ПОЛОВИННЫХ СПЛАВОВ ГЕЙСЛЕРА XYZ	Первопринципные исследования электронных свойств половинных сплавов Гейслера xyz	Первопринципные исследования электронных свойств половинных сплавов Гейслера xyz	Primary studies of the electronic properties of half-alloys of Geisler xyz	argos_translate_ru_en	Бутова Ю.Н., Байгутлин Д.Р., Загребин М.А.	Ы	Ы			122	12	45-46		https://www.elibrary.ru/item.asp?id=65441032	Бутова Ю.Н., Байгутлин Д.Р., Загребин М.А. Первопринципные исследования электронных свойств половинных сплавов Гейслера xyz. // В сборнике: Образование магистров: проблемы и перспективы развития. Тезисы докладов VII Всероссийской конференции. Челябинск, 2024. С. 45-46. URL: https://www.elibrary.ru/item.asp?id=65441032.	Butova Yu.N., Baigutlin, D. R., & Zagrebin, M. A. (2024). Pervoprintsipnye issledovaniya elektronnykh svoistv polovinnykh splavov Geislera xyz. V sbornike: Obrazovanie magistrov: problemy i perspektivy razvitiya. Tezisy dokladov VII Vserossiiskoi konferentsii. Chelyabinsk,, 45–46. https://www.elibrary.ru/item.asp?id=65441032	eLibrary/RSCI,elibrary
10	2024	0		ОБМЕННО-КОРРЕЛЯЦИОННЫЕ ЭФФЕКТЫ В СИЛЬНО КОРРЕЛИРОВАННЫХ СПЛАВАХ ГЕЙСЛЕРА	Обменно-корреляционные эффекты в сильно коррелированных сплавах Гейслера	Обменно-корреляционные эффекты в сильно коррелированных сплавах Гейслера	Exchange-correlational effects in highly correlated Geisler alloys	argos_translate_ru_en	Байгутлин Д.Р.	Ы	Ы			, что полученные результаты могут быть использованы для дальнейшего улучшения предсказательной силы функционала SCAN и для разработки новых функционалов. Кроме того, результаты расчетов могут быть также применены для создания новых функциональных материалов, в частности для устройств спинтроники и магнитных актуаторов. Результаты работы могут служить основой для экспериментального синтеза новых материалов и дальнейших теоретических исследований в области теории функционала плотности. Научная новизна работы заключается в том, что впервые было получено полуметаллическое состояние и оценена ширина запрещенной зоны в рамках полу-локального функционала без использования параметрического подхода DFT+U для полных сплавов Гейслера...	государственной регистрации:			https://www.elibrary.ru/item.asp?id=74044821	"Байгутлин Д.Р. Обменно-корреляционные эффекты в сильно коррелированных сплавах Гейслера. // диссертация на соискание ученой степени кандидата физико-математических наук / ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЧЕЛЯБИНСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ"". 2024. URL: https://www.elibrary.ru/item.asp?id=74044821."	"Baigutlin, D. R. (2024). Obmenno-korrelyatsionnye effekty v silno korrelirovannykh splavakh Geislera. dissertatsiya na soiskanie uchenoi stepeni kandidata fiziko-matematicheskikh nauk / FEDERALNOE GOSUDARSTVENNOE BYuDZhETNOE OBRAZOVATELNOE UChREZhDENIE VYSShEGO OBRAZOVANIYa ""ChELYaBINSKII GOSUDARSTVENNYI UNIVERSITET"". https://www.elibrary.ru/item.asp?id=74044821"	eLibrary/RSCI,elibrary
11	2024	1		THERMOELECTRIC PROPERTIES OF DOUBLE HALF-HEUSLER TI 2 MNNISI 2 ALLOY	Thermoelectric properties of double half-heusler ti 2 mnnisi 2 alloy	Thermoelectric properties of double half-heusler ti 2 mnnisi 2 alloy	THERMOELECTRIC PROPERTIES OF DOUBLE HALF-HEUSLER TI 2 MNNISI 2 ALLOY	existing_publication	Matyunina M.V., Baigutlin D.R., Zagrebin M.A., Sokolovskiy V.V., Buchelnikov V.D.	The Physics of Metals and Metallography	Physics of Metals and Metallography	The Physics of Metals and Metallography	existing_publication	125	14	1885-1893	10.1134/s0031918x24602622	https://www.elibrary.ru/item.asp?id=80407909	Matyunina M.V., Baigutlin D.R., Zagrebin M.A., Sokolovskiy V.V., Buchelnikov V.D. Thermoelectric properties of double half-heusler ti 2 mnnisi 2 alloy. // Physics of Metals and Metallography. 2024. Т. 125. № 14. С. 1885-1893. URL: https://www.elibrary.ru/item.asp?id=80407909.	Matyunina, M. V., Baigutlin, D. R., Zagrebin, M. A., Sokolovskiy, V. V., & Buchelnikov, V. D. (2024). Thermoelectric properties of double half-heusler ti 2 mnnisi 2 alloy. Physics of Metals and Metallography, 125(14), 1885–1893. https://www.elibrary.ru/item.asp?id=80407909	eLibrary/RSCI,openalex_api,elibrary
12	2024	3		The theoretical approach for description of magnetic properties and magnetocaloric effect in all-d-metal Heusler alloys Ni2−xCoxMn1.25Ti0.75	The theoretical approach for description of magnetic properties and magnetocaloric effect in all-d-metal Heusler alloys Ni2−xCoxMn1.25Ti0.75	The theoretical approach for description of magnetic properties and magnetocaloric effect in all-d-metal Heusler alloys Ni2−xCoxMn1.25Ti0.75	The theoretical approach for description of magnetic properties and magnetocaloric effect in all-d-metal Heusler alloys Ni2−xCoxMn1.25Ti0.75	existing_publication	Sokolovskiy V.V., Matyunina M.V., Baigutlin D.R., Buchelnikov V.D., Taskaev S.V.	Journal of Applied Physics	Journal of Applied Physics	Journal of Applied Physics	existing_publication	136	21		10.1063/5.0236017	https://www.elibrary.ru/item.asp?id=79743680	Sokolovskiy V.V., Matyunina M.V., Baigutlin D.R., Buchelnikov V.D., Taskaev S.V. The theoretical approach for description of magnetic properties and magnetocaloric effect in all-d-metal Heusler alloys Ni2−xCoxMn1.25Ti0.75. // Journal of Applied Physics. 2024. Vol. 136. No. 21. Article 215101. DOI: 10.1063/5.0236017.	Sokolovskiy, V. V., Matyunina, M. V., Baigutlin, D. R., Buchelnikov, V. D., & Taskaev, S. V. (2024). The theoretical approach for description of magnetic properties and magnetocaloric effect in all-d-metal Heusler alloys Ni2−xCoxMn1.25Ti0.75. Journal of Applied Physics, 136(21). https://doi.org/10.1063/5.0236017	DOI,eLibrary/RSCI,crossref_api,openalex_api,orcid_public_api,elibrary
13	2024	3	6	Machine learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	Machine learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	Machine learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	Machine learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	existing_publication	Baigutlin D.R., Sokolovskiy V.V., Buchelnikov V.D., Taskaev S.V.	Journal of Applied Physics	Journal of Applied Physics	Journal of Applied Physics	existing_publication	136	18	2021	10.1063/5.0236335	https://www.elibrary.ru/item.asp?id=78881723	Baigutlin D.R., Sokolovskiy V.V., Buchelnikov V.D., Taskaev S.V. Machine learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys. // Journal of Applied Physics. 2024. Vol. 136. No. 18. Article 183903. DOI: 10.1063/5.0236335.	Baigutlin, D. R., Sokolovskiy, V. V., Buchelnikov, V. D., & Taskaev, S. V. (2024). Machine learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys. Journal of Applied Physics, 136(18). https://doi.org/10.1063/5.0236335	DOI,eLibrary/RSCI,crossref_api,openalex_api,orcid_public_api,elibrary,scopus
	2024			Machine Learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	Machine Learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	Machine Learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	Machine Learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys	existing_publication	Baigutlin, Danil, Sokolovskiy, Vladimir, Buchelnikov, Vasiliy, Taskaev, Sergey	arXiv (Cornell University)	arXiv (Cornell University)	arXiv (Cornell University)	existing_publication				10.48550/arxiv.2409.14370	https://openalex.org/W4403783022	Baigutlin, Danil, Sokolovskiy, Vladimir, Buchelnikov, Vasiliy, Taskaev, Sergey. Machine Learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys. // arXiv (Cornell University). — 2024. — DOI: 10.48550/arxiv.2409.14370.	Baigutlin, Danil, Sokolovskiy, Vladimir, Buchelnikov, Vasiliy, Taskaev, & Sergey (2024). Machine Learning algorithms for optimization of magnetocaloric effect in all-d-metal Heusler alloys. arXiv (Cornell University). https://doi.org/10.48550/arxiv.2409.14370	openalex_api
	2024			Systematic Study of D0-D Kyz (Y = Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Z = Al, Ga, in, Si, Ge, Sn, Pb, P, as, Sb, Bi, S, Se, Te) Heusler Alloys	Systematic Study of D0-D Kyz (Y = Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Z = Al, Ga, in, Si, Ge, Sn, Pb, P, as, Sb, Bi, S, Se, Te) Heusler Alloys	Systematic Study of D0-D Kyz (Y = Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Z = Al, Ga, in, Si, Ge, Sn, Pb, P, as, Sb, Bi, S, Se, Te) Heusler Alloys	Systematic Study of D0-D Kyz (Y = Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Z = Al, Ga, in, Si, Ge, Sn, Pb, P, as, Sb, Bi, S, Se, Te) Heusler Alloys	existing_publication	Maria V. Matyunina, Danil Baigutlin, Vladimir Sokolovskiy, Vasiliy Buchelnikov	SSRN Electronic Journal	SSRN Electronic Journal	SSRN Electronic Journal	existing_publication				10.2139/ssrn.4927796	https://doi.org/10.2139/ssrn.4927796	Maria V. Matyunina, Danil Baigutlin, Vladimir Sokolovskiy, Vasiliy Buchelnikov. Systematic Study of D0-D Kyz (Y = Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Z = Al, Ga, in, Si, Ge, Sn, Pb, P, as, Sb, Bi, S, Se, Te) Heusler Alloys. // SSRN Electronic Journal. — 2024. — DOI: 10.2139/ssrn.4927796.	Maria V. Matyunina, Danil Baigutlin, Vladimir Sokolovskiy, & Vasiliy Buchelnikov (2024). Systematic Study of D0-D Kyz (Y = Sc, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Z = Al, Ga, in, Si, Ge, Sn, Pb, P, as, Sb, Bi, S, Se, Te) Heusler Alloys. SSRN Electronic Journal. https://doi.org/10.2139/ssrn.4927796	orcid_public_api,crossref_api,openalex_api
	2024		2	Thermoelectric Properties of Double Half-Heusler Ti2MnNiSi2 Alloy	Thermoelectric Properties of Double Half-Heusler Ti2MnNiSi2 Alloy	Thermoelectric Properties of Double Half-Heusler Ti2MnNiSi2 Alloy	Thermoelectric Properties of Double Half-Heusler Ti2MnNiSi2 Alloy	existing_publication	Matyunina M.V.	Physics of Metals and Metallography	Physics of Metals and Metallography	Physics of Metals and Metallography	existing_publication	125	14	1885-1893	10.1134/s0031918x24602622	https://www.scopus.com/record/display.uri?eid=2-s2.0-85219755503	Matyunina M.V. Thermoelectric Properties of Double Half-Heusler Ti2MnNiSi2 Alloy. // Physics of Metals and Metallography. — 2024. — Т. 125. — № 14. — С. 1885–1893. — DOI: 10.1134/s0031918x24602622.	Matyunina, M. V. (2024). Thermoelectric Properties of Double Half-Heusler Ti2MnNiSi2 Alloy. Physics of Metals and Metallography, 125(14), 1885–1893. https://doi.org/10.1134/s0031918x24602622	scopus,openalex_api
14	2023	0		Современное состояние исследований свойств магнитных материалов в рамках теории функционала плотности	Современное состояние исследований свойств магнитных материалов в рамках теории функционала плотности	Современное состояние исследований свойств магнитных материалов в рамках теории функционала плотности	Current state of research of properties of magnetic materials within the framework of density functional theory	argos_translate_ru_en	Соколовский В.В., Байгутлин Д.Р., Мирошкина О.Н., Бучельников В.Д.							15–17		https://www.elibrary.ru/item.asp?id=54314962	Соколовский В.В., Байгутлин Д.Р., Мирошкина О.Н., Бучельников В.Д. Современное состояние исследований свойств магнитных материалов в рамках теории функционала плотности. // В сборнике: Дни калорики в Дагестане: функциональные материалы и их приложения. Сборник тезисов. Челябинск, 2023. С. 15-17. URL: https://www.elibrary.ru/item.asp?id=54314962.	Sokolovskii, V. V., Baigutlin, D. R., Miroshkina, O. N., & Buchelnikov, V. D. (2023). Sovremennoe sostoyanie issledovanii svoistv magnitnykh materialov v ramkakh teorii funktsionala plotnosti. V sbornike: Dni kaloriki v Dagestane: funktsionalnye materialy i ikh prilozheniya. Sbornik tezisov. Chelyabinsk,, 15–17. https://www.elibrary.ru/item.asp?id=54314962	eLibrary/RSCI
15	2023	0		СОВРЕМЕННОЕ СОСТОЯНИЕ ИССЛЕДОВАНИЙ СВОЙСТВ МАГНИТНЫХ МАТЕРИАЛОВ В РАМКАХ ТЕОРИИ ФУНКЦИОНАЛА ПЛОТНОСТИ	Современное состояние исследований свойств магнитных материалов в рамках теории функционала плотности	Современное состояние исследований свойств магнитных материалов в рамках теории функционала плотности	Current state of research of properties of magnetic materials within the framework of density functional theory	argos_translate_ru_en	Соколовский В.В., Байгутлин Д.Р., Мирошкина О.Н., Бучельников В.Д.	Ы	Ы	Metals	crossref_api	13	075-01493-23-00	15-17	10.3390/met13040728	https://www.elibrary.ru/item.asp?id=54314104	Соколовский В.В., Байгутлин Д.Р., Мирошкина О.Н., Бучельников В.Д. Современное состояние исследований свойств магнитных материалов в рамках теории функционала плотности. // В сборнике: ДНИ КАЛОРИКИ В ДАГЕСТАНЕ: ФУНКЦИОНАЛЬНЫЕ МАТЕРИАЛЫ И ИХ ПРИЛОЖЕНИЯ. сборник тезисов. Челябинск, 2023. С. 15-17. URL: https://www.elibrary.ru/item.asp?id=54314104.	Sokolovskii, V. V., Baigutlin, D. R., Miroshkina, O. N., & Buchelnikov, V. D. (2023). Sovremennoe sostoyanie issledovanii svoistv magnitnykh materialov v ramkakh teorii funktsionala plotnosti. V sbornike: DNI KALORIKI V DAGESTANE: FUNKTsIONALNYE MATERIALY I IKh PRILOZhENIYa. sbornik tezisov. Chelyabinsk,, 15–17. https://www.elibrary.ru/item.asp?id=54314104	eLibrary/RSCI,elibrary
16	2023	0		Полуметаллические свойства тонких пленок полусплавов Гейслера	Полуметаллические свойства тонких пленок полусплавов Гейслера	Полуметаллические свойства тонких пленок полусплавов Гейслера	Semi-metallic properties of thin films of Heisler semialloys	argos_translate_ru_en	Байгутлин Д.Р., Бутова Ю.Н., Бучельников В.Д., Соколовский В.В.							31–33		https://www.elibrary.ru/item.asp?id=54314989	Байгутлин Д.Р., Бутова Ю.Н., Бучельников В.Д., Соколовский В.В. Полуметаллические свойства тонких пленок полусплавов Гейслера. // В сборнике: Дни калорики в Дагестане: функциональные материалы и их приложения. Сборник тезисов. Челябинск, 2023. С. 31-33. URL: https://www.elibrary.ru/item.asp?id=54314989.	Baigutlin, D. R., Butova Yu.N., Buchelnikov, V. D., & Sokolovskii, V. V. (2023). Polumetallicheskie svoistva tonkikh plenok polusplavov Geislera. V sbornike: Dni kaloriki v Dagestane: funktsionalnye materialy i ikh prilozheniya. Sbornik tezisov. Chelyabinsk,, 31–33. https://www.elibrary.ru/item.asp?id=54314989	eLibrary/RSCI
17	2023	0		ПОЛУМЕТАЛЛИЧЕСКИЕ СВОЙСТВА ТОНКИХ ПЛЕНОК ПОЛУСПЛАВОВ ГЕЙСЛЕРА	Полуметаллические свойства тонких пленок полусплавов Гейслера	Полуметаллические свойства тонких пленок полусплавов Гейслера	Semi-metallic properties of thin films of Heisler semialloys	argos_translate_ru_en	Байгутлин Д.Р., Бутова Ю.Н., Бучельников В.Д., Соколовский В.В.	Ы	Ы				22-12-20032	31-33		https://www.elibrary.ru/item.asp?id=54314112	Байгутлин Д.Р., Бутова Ю.Н., Бучельников В.Д., Соколовский В.В. Полуметаллические свойства тонких пленок полусплавов Гейслера. // В сборнике: ДНИ КАЛОРИКИ В ДАГЕСТАНЕ: ФУНКЦИОНАЛЬНЫЕ МАТЕРИАЛЫ И ИХ ПРИЛОЖЕНИЯ. сборник тезисов. Челябинск, 2023. С. 31-33. URL: https://www.elibrary.ru/item.asp?id=54314112.	Baigutlin, D. R., Butova Yu.N., Buchelnikov, V. D., & Sokolovskii, V. V. (2023). Polumetallicheskie svoistva tonkikh plenok polusplavov Geislera. V sbornike: DNI KALORIKI V DAGESTANE: FUNKTsIONALNYE MATERIALY I IKh PRILOZhENIYa. sbornik tezisov. Chelyabinsk,, 31–33. https://www.elibrary.ru/item.asp?id=54314112	eLibrary/RSCI,elibrary
18	2023	0		ОСОБЕННОСТИ НАНОДВОЙНИКОВЫХ СТРУКТУР В СПЛАВАХ ГЕЙСЛЕРА NI 2 MN 1,5 IN 0,5 И NI 2 MN 1,75 IN 0,25	Особенности нанодвойниковых структур в сплавах Гейслера ni 2 mn 1,5 in 0,5 и ni 2 mn 1,75 in 0,25	Особенности нанодвойниковых структур в сплавах Гейслера ni 2 mn 1,5 in 0,5 и ni 2 mn 1,75 in 0,25	PECULIARITIES OF NANOTWIN STRUCTURES IN NI2MN1,5IN0,5 AND NI2MN1,75IN0,25 HEUSLER ALLOYS	existing_publication	Ерагер К.Р., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д.	"Bulletin of the South Ural State University series ""Mathematics. Mechanics. Physics"""	Вестник Южно-Уральского государственного университета. Серия: Математика. Механика. Физика	"Bulletin of the South Ural State University series ""Mathematics. Mechanics. Physics"""	existing_publication	15	2	48-58	10.14529/mmph230207	https://www.elibrary.ru/item.asp?id=53327663	Ерагер К.Р., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д. Особенности нанодвойниковых структур в сплавах Гейслера ni 2 mn 1,5 in 0,5 и ni 2 mn 1,75 in 0,25. // Вестник Южно-Уральского государственного университета. Серия: Математика. Механика. Физика. 2023. Т. 15. № 2. С. 48-58. URL: https://www.elibrary.ru/item.asp?id=53327663.	Erager, K. R., Baigutlin, D. R., Sokolovskii, V. V., & Buchelnikov, V. D. (2023). Osobennosti nanodvoinikovykh struktur v splavakh Geislera ni 2 mn 1,5 in 0,5 i ni 2 mn 1,75 in 0,25. Vestnik Yuzhno-Uralskogo gosudarstvennogo universiteta. Seriya: Matematika. Mekhanika. Fizika, 15(2), 48–58. https://www.elibrary.ru/item.asp?id=53327663	eLibrary/RSCI,crossref_api,openalex_api,orcid_public_api,elibrary
19	2023	3		О ВОЗМОЖНОСТИ ПОЛУМЕТАЛЛИЧЕСКИХ СВОЙСТВ В ФЕРРОМАГНИТНЫХ СПЛАВАХ ГЕЙСЛЕРА FE 2 RHZ (Z = AL, SI, GA, GE, IN, SN)	О возможности полуметаллических свойств в ферромагнитных сплавах Гейслера fe 2 rhz (z = al, si, ga, ge, in, sn)	О возможности полуметаллических свойств в ферромагнитных сплавах Гейслера fe 2 rhz (z = al, si, ga, ge, in, sn)	On the Possible Half-Metallic Properties of Fe2RhZ (Z = Al, Si, Ga, Ge, In, Sn) Ferromagnetic Heusler Alloys	existing_publication	Ерагер К.Р., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д.	Радиотехника и электроника	Радиотехника и электроника			68	4	326-337	10.31857/s0033849423040010	https://www.elibrary.ru/item.asp?id=50773463	Ерагер К.Р., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д. О возможности полуметаллических свойств в ферромагнитных сплавах Гейслера fe 2 rhz (z = al, si, ga, ge, in, sn). // Радиотехника и электроника. 2023. Т. 68. № 4. С. 326-337. URL: https://www.elibrary.ru/item.asp?id=50773463.	Erager, K. R., Baigutlin, D. R., Sokolovskii, V. V., & Buchelnikov, V. D. (2023). O vozmozhnosti polumetallicheskikh svoistv v ferromagnitnykh splavakh Geislera fe 2 rhz (z = al, si, ga, ge, in, sn). Radiotekhnika i elektronika, 68(4), 326–337. https://www.elibrary.ru/item.asp?id=50773463	eLibrary/RSCI,openalex_api,elibrary
20	2023	0		ИССЛЕДОВАНИЯ ИЗ ПЕРВЫХ ПРИНЦИПОВ ПОЛУМЕТАЛЛИЧЕСКИХ ФЕРРОМАГНИТНЫХ СПЛАВОВ ГЕЙСЛЕРА TI2VZ (Z= AL, GA, IN, SI, GE, SN) Раев А.А., Саносян А.А., Байгутлин Д.Р., Ерагер К.Р., Соколовский В.В., Бучельников В.Д. В сборнике: ДНИ КАЛОРИКИ В ДАГЕСТАНЕ: ФУНКЦИОНАЛЬНЫЕ МАТЕРИАЛЫ И ИХ ПРИЛОЖЕНИЯ. Сборник тезисов. Челябинск, 2023. С. 101-103.	Исследования из первых принципов полуметаллических ферромагнитных сплавов Гейслера ti2vz (z= al, ga, in, si, ge, sn) раев а. а. , саносян а. а. , байгутлин д. р. , ерагер к. р. , соколовский в. в. , бучельников в. д. в сборнике: дни калорики в дагестане: функциональные материалы и их приложения. сборник тезисов. челябинск, 2023. с. 101-103.	Исследования из первых принципов полуметаллических ферромагнитных сплавов Гейслера ti2vz (z= al, ga, in, si, ge, sn) раев а. а. , саносян а. а. , байгутлин д. р. , ерагер к. р. , соколовский в. в. , бучельников в. д. в сборнике: дни калорики в дагестане: функциональные материалы и их приложения. сборник тезисов. челябинск, 2023. с. 101-103.	Studies from the first principles of semi-metallic ferromagnetic alloys of Geisler ti2vz (z= al, ga, in, si, ge, sn) rays a. a., sanosyan a. a., baygutlin d. r., erager k. r., Sokolovsky V. , bachelliki in the collection: days of calorics in Dagestan: functional materials and their applications. abstract book. Chelyabinsk, 2023. pp. 101-103.	argos_translate_ru_en										https://www.elibrary.ru/item.asp?id=54315039	Исследования из первых принципов полуметаллических ферромагнитных сплавов Гейслера ti2vz (z= al, ga, in, si, ge, sn) раев а. а. , саносян а. а. , байгутлин д. р. , ерагер к. р. , соколовский в. в. , бучельников в. д. в сборнике: дни калорики в дагестане: функциональные материалы и их приложения. сборник тезисов. челябинск, 2023. с. 101-103. // Z= AL, GA, IN, SI, GE, SN) Раев А.А., Саносян А.А., Байгутлин Д.Р., Ерагер К.Р., Соколовский В.В., Бучельников В.Д. В сборнике: ДНИ КАЛОРИКИ В ДАГЕСТАНЕ: ФУНКЦИОНАЛЬНЫЕ МАТЕРИАЛЫ И ИХ ПРИЛОЖЕНИЯ. сборник тезисов. Челябинск, 2023. С. 101-103. URL: https://www.elibrary.ru/item.asp?id=54315039.	Baigutlin, D. R. (2023). Issledovaniya iz pervykh printsipov polumetallicheskikh ferromagnitnykh splavov Geislera ti2vz (z= al, ga, in, si, ge, sn) raev a. a., sanosyan a. a., baigutlin d. r., erager k. r., sokolovskii v. v., buchelnikov v. d. v sbornike: dni kaloriki v dagestane: funktsionalnye materialy i ikh prilozheniya. sbornik tezisov. chelyabinsk, 2023. s. 101-103. Z= AL, GA, IN, SI, GE, SN) Raev A.A., Sanosyan A.A., Baigutlin D.R., Erager K.R., Sokolovskii V.V., Buchelnikov V.D. V sbornike: DNI KALORIKI V DAGESTANE: FUNKTsIONALNYE MATERIALY I IKh PRILOZhENIYa. sbornik tezisov. Chelyabinsk,, 101–103. https://www.elibrary.ru/item.asp?id=54315039	eLibrary/RSCI
21	2023	0		ИССЛЕДОВАНИЯ ИЗ ПЕРВЫХ ПРИНЦИПОВ ПОЛУМЕТАЛЛИЧЕСКИХ ФЕРРОМАГНИТНЫХ СПЛАВОВ ГЕЙСЛЕРА TI2VZ (Z= AL, GA, IN, SI, GE, SN)	Исследования из первых принципов полуметаллических ферромагнитных сплавов Гейслера ti2vz (z= al, ga, in, si, ge, sn)	Исследования из первых принципов полуметаллических ферромагнитных сплавов Гейслера ti2vz (z= al, ga, in, si, ge, sn)	Studies from the first principles of semi-metallic ferromagnetic Geisler alloys ti2vz (z= al, ga, in, si, ge, sn)	argos_translate_ru_en	Раев А.А., Саносян А.А., Байгутлин Д.Р., Ерагер К.Р., Соколовский В.В., Бучельников В.Д.	Ы	Ы				22-12-20032	101-103		https://www.elibrary.ru/item.asp?id=54314144	Раев А.А., Саносян А.А., Байгутлин Д.Р., Ерагер К.Р., Соколовский В.В., Бучельников В.Д. Исследования из первых принципов полуметаллических ферромагнитных сплавов Гейслера ti2vz (z= al, ga, in, si, ge, sn). // В сборнике: ДНИ КАЛОРИКИ В ДАГЕСТАНЕ: ФУНКЦИОНАЛЬНЫЕ МАТЕРИАЛЫ И ИХ ПРИЛОЖЕНИЯ. сборник тезисов. Челябинск, 2023. С. 101-103. URL: https://www.elibrary.ru/item.asp?id=54314144.	Raev, A. A., Sanosyan, A. A., Baigutlin, D. R., Erager, K. R., Sokolovskii, V. V., & Buchelnikov, V. D. (2023). Issledovaniya iz pervykh printsipov polumetallicheskikh ferromagnitnykh splavov Geislera ti2vz (z= al, ga, in, si, ge, sn). V sbornike: DNI KALORIKI V DAGESTANE: FUNKTsIONALNYE MATERIALY I IKh PRILOZhENIYa. sbornik tezisov. Chelyabinsk,, 101–103. https://www.elibrary.ru/item.asp?id=54314144	eLibrary/RSCI,elibrary
22	2023	0		ИССЛЕДОВАНИЕ СВОЙСТВ ПОЛОВИННЫХ D°-D СПЛАВОВ ГЕЙСЛЕРА НА ОСНОВЕ СИСТЕМ KMNZ (Z = BI, PB, SB, SN)	Исследование свойств половинных d°-d сплавов Гейслера на основе систем kmnz (z = bi, pb, sb, sn)	Исследование свойств половинных d°-d сплавов Гейслера на основе систем kmnz (z = bi, pb, sb, sn)	Investigation of the properties of half d°-d Geisler alloys based on kmnz systems (z = bi, pb, sb, sn)	argos_translate_ru_en	Матюнина М.В., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д.	Ы	Ы			ов переходных металлов (ПМ) X,Y и sp-элемента Z. В работе [3] была предложена идея заменить один из переходных металлов в структуре в половинных сплавах Гейслера (например, Ni, Ti, Fe, Со, Мп) на атом dd щелочного металла (К, Rb, Cs)...	22-12-20032	59-60		https://www.elibrary.ru/item.asp?id=54592981	Матюнина М.В., Байгутлин Д.Р., Соколовский В.В., Бучельников В.Д. Исследование свойств половинных d°-d сплавов Гейслера на основе систем kmnz (z = bi, pb, sb, sn). // В сборнике: Магнитные материалы. Новые технологии. Материалы IX Байкальской Международной конференции. Иркутск, 2023. С. 59-60. URL: https://www.elibrary.ru/item.asp?id=54592981.	Matyunina, M. V., Baigutlin, D. R., Sokolovskii, V. V., & Buchelnikov, V. D. (2023). Issledovanie svoistv polovinnykh d°-d splavov Geislera na osnove sistem kmnz (z = bi, pb, sb, sn). V sbornike: Magnitnye materialy. Novye tekhnologii. Materialy IX Baikalskoi Mezhdunarodnoi konferentsii. Irkutsk,, 59–60. https://www.elibrary.ru/item.asp?id=54592981	eLibrary/RSCI,elibrary
